CAMPO,AGRO-PARTES PUEBLA,COMERCIAL AUTOMOTRIZ DE LOS ALTOS,BANCO SANTANDER MÉXICO
Nombre del Arrendatario,AGRO-PARTES PUEBLA S.A. DE C.V. (Rep. Laura Fabiola Torres Pérez),COMERCIAL AUTOMOTRIZ DE LOS ALTOS S.A. DE C.V. (Rep. J. Guadalupe Ponce Ríos),BANCO SANTANDER MÉXICO S.A. INSTITUCIÓN DE BANCA MÚLTIPLE GRUPO FINANCIERO SANTANDER (Rep. Arq. Edmundo de Jesús Pérez Toledo y C.P. José Luis Álvarez Montiel)
Identificación del Local – Número/Clave,No especificado en el contrato,L-01 / L-02 / L-03,F-02A
Identificación del Local – Superficie,179 m² (ciento setenta y nueve metros cuadrados),252.06 m² (doscientos cincuenta y dos metros con cero seis decímetros cuadrados),432 m² (cuatrocientos treinta y dos metros cuadrados)
Identificación del Local – Ubicación,"Lateral Sur, Autopista México-Puebla 55, Cuautlancingo, 72710 Puebla, Puebla","Blvd. José María Chávez 2010, Cd Industrial, C.P. 20290 Aguascalientes, Ags.","Paseo de Las Hdas s/n, Lote 4 Norte, Jardines de la Hacienda, 54720 Cuautitlán Izcalli, Estado de México"
Fecha de Firma del Contrato,13 de marzo de 2023,01 de diciembre de 2024,"01 de septiembre de 2023 (contrato original); Convenio modificatorio firmado el 26 de mayo de 2025"
Fecha de Apertura / Inicio de Vigencia,15 de abril de 2023,01 de diciembre de 2024,01 de septiembre de 2023
Plazo,"1 (un) año forzoso + 4 (cuatro) voluntarios para ambas partes, contados a partir de la Fecha de Apertura (vigencia total: hasta 15 de abril de 2028)","2 (dos) años forzosos para el Arrendatario y 3 (tres) años forzosos para el Arrendador, contados a partir de la Fecha de Apertura (vigencia: 01 dic 2024 – 01 dic 2029)","5 (cinco) años forzosos para ambas partes, contados a partir del 01 de septiembre de 2023 hasta el 01 de septiembre de 2030 (modificado por convenio del 26 de mayo de 2025)"
Importe de Renta Mensual (sin IVA),"$15,000.00 (quince mil pesos 00/100 M.N.) a partir de la Fecha de Apertura","$37,809.00 (treinta y siete mil ochocientos nueve pesos 00/100 M.N.) a partir de la Fecha de Apertura","$201,691.51 (doscientos un mil seiscientos noventa y uno pesos 51/100 M.N.) vigente a partir del 05 de septiembre de 2024 (renta inicial del contrato original no especificada en el convenio modificatorio)"
Fecha de Incremento de Renta,"Cada 12 meses a partir de la Fecha de Apertura (15 de abril), conforme al INPC General","Cada 12 meses a partir de la Fecha de Apertura (01 de diciembre), conforme al INPC General","Anual a partir del 01 de septiembre de cada año (el incremento del 05 de septiembre de 2024 resultó en $201,691.51 + IVA)"
Depósito en Garantía,"Equivalente a 2 (dos) meses de Renta vigente = $30,000.00 M.N. Se actualiza conforme a los incrementos de Renta (siempre equivalente a 2 meses de Renta vigente)","Equivalente a 2 (dos) meses de Renta vigente = $75,618.00 M.N. Se actualiza conforme a los incrementos de Renta (siempre equivalente a 2 meses de Renta vigente)","No especificado en el convenio modificatorio (documento disponible solo contiene la modificación al plazo)"
Penalización por Rescisión Anticipada,"Renta mensual vigente × número de meses faltantes para el término del plazo forzoso + IVA, en una sola exhibición. Si no desocupa al término del contrato: paga la última Renta incrementada en 100% hasta la desocupación.","Renta mensual vigente × número de meses faltantes para el término del plazo forzoso + IVA, en una sola exhibición. Si no desocupa al término del contrato: paga la última Renta incrementada en 100% hasta la desocupación.","No especificado en el convenio modificatorio (documento disponible solo contiene la modificación al plazo)"
Cobro de Agua,"El Arrendador divide mensualmente el costo total del agua entre los metros cúbicos consumidos para obtener el importe por m³, y lo aplica al consumo del Arrendatario. El Arrendatario paga por meses vencidos dentro de los 3 días naturales siguientes a la notificación escrita del Arrendador.","El Arrendatario paga por su exclusiva cuenta y desde el inicio del arrendamiento todos los gastos generados por el consumo del servicio de agua, incluyendo el costo de la póliza que contrate.","No especificado en el convenio modificatorio"
Cobro de Energía Eléctrica (Luz),"El Arrendatario contrata y paga directamente su servicio de suministro eléctrico ante la autoridad u organismo competente (medidor propio). Cubre los derechos de instalación del medidor y el consumo. Entrega al Arrendador copia del comprobante de pago dentro de las 48 horas siguientes al pago.","El Arrendatario contrata y paga directamente su servicio de suministro eléctrico ante la autoridad u organismo competente (medidor propio). Cubre los derechos de instalación del medidor y el consumo. Entrega al Arrendador copia del comprobante de pago dentro de las 48 horas siguientes al pago.","No especificado en el convenio modificatorio"
Fuente del Documento,Contrato de Arrendamiento firmado el 13 de marzo de 2023,Contrato de Arrendamiento firmado el 01 de diciembre de 2024,Convenio Modificatorio al Contrato de Arrendamiento firmado el 26 de mayo de 2025 (el contrato original data del 01 de septiembre de 2023)
